YEARS,AGE,FIRST,SE_CLOSE,SE_NOHAPPY,SE_UNHEAL,SE_SEAEND,SE_KEKKON,SE_END,SE_HOMEBUSY,SE_OTHERS
96,15~19,9896,1232,4870,239,746,0,0,0,293
96,20~24,43542,8169,27331,1002,3867,262,22,253,2013
96,25~29,26610,18677,40984,1917,5548,744,265,158,1297
97,TOTAL,92837,152190,138503,9197,43432,2869,2392,2567,5854
97,15~19,9275,1268,5118,319,1263,0,0,0,354
97,20~24,49222,9154,26909,1276,4204,234,25,23,1326
97,25~29,26961,25127,44223,1457,5197,826,15,472,1025
98,TOTAL,102412,336915,119109,9675,56957,1775,2534,2710,6502
98,15~19,8501,3763,4838,184,1165,148,0,44,221
98,20~24,52392,25148,22209,1285,5070,81,40,115,1683
98,25~29,33239,59896,38570,1570,8019,470,0,505,1406
99,TOTAL,104604,239798,141757,10668,64225,2255,2320,4377,6891
99,15~19,8267,1787,3971,366,780,76,0,70,65
99,20~24,54279,13286,22856,952,5791,26,0,62,1590
99,25~29,33409,36249,46081,1961,11144,676,107,492,1457
100,TOTAL,100146,147820,160251,10175,55834,3285,2211,4361,7063
100,15~19,9811,778,3857,0,1002,0,0,0,84
100,20~24,50737,8748,26485,1230,4490,84,0,87,1344
100,25~29,30275,20795,49652,1171,7826,390,0,318,1188
101,TOTAL,105352,136777,162079,10339,50071,2647,2416,4281,6645
101,15~19,6683,1222,4702,83,490,65,0,0,34
101,20~24,58290,7955,26984,672,4150,0,14,222,1503
101,25~29,31786,16570,48169,1407,6642,849,0,800,1541
102,TOTAL,111868,138802,160557,9746,43846,2416,1880,3139,5752
102,15~19,7097,974,3522,108,582,0,0,0,87
102,20~24,62278,8108,29059,752,4778,172,0,115,962
102,25~29,32914,19580,43454,1220,5648,543,104,95,1298
103,TOTAL,104948,127873,161323,8670,42259,2075,1425,2684,5444
103,15~19,5715,386,3340,142,705,0,0,0,426
103,20~24,59560,8284,28250,596,3886,47,0,0,542
103,25~29,30162,15059,43873,1669,4942,200,0,224,1106
104,TOTAL,100727,115662,160741,8997,43661,2279,1083,2106,4805
104,15~19,5893,1051,2625,135,801,17,0,0,261
104,20~24,58035,5222,29525,733,3540,29,0,106,980
104,25~29,28955,14569,41079,1117,5584,339,0,86,313
105,TOTAL,109033,120859,161814,9933,46629,2517,1031,2886,4891
105,15~19,6631,995,2437,22,673,0,0,0,438
105,20~24,65560,6160,24027,654,3163,70,0,514,903
105,25~29,28678,13691,44291,1798,4505,1021,0,159,495
106,TOTAL,104427,113628,163344,6936,45624,2373,1031,2155,3875
106,15~19,6654,457,2668,129,589,0,0,0,174
